id,user_id,movie_id,rating,timestamp
1,1,1,4,2000-07-30 18:45:03.000000
2,1,3,4,2000-07-30 18:20:47.000000
3,1,6,4,2000-07-30 18:37:04.000000
4,1,47,5,2000-07-30 19:03:35.000000
5,1,50,5,2000-07-30 18:48:51.000000
6,1,70,3,2000-07-30 18:40:00.000000
7,1,101,5,2000-07-30 18:14:28.000000
8,1,110,4,2000-07-30 18:36:16.000000
9,1,151,5,2000-07-30 19:07:21.000000
10,1,157,5,2000-07-30 19:08:20.000000
11,1,163,5,2000-07-30 19:00:50.000000
12,1,216,5,2000-07-30 18:20:08.000000
13,1,223,3,2000-07-30 18:16:25.000000
14,1,231,5,2000-07-30 18:19:39.000000
15,1,235,4,2000-07-30 18:15:08.000000
16,1,260,5,2000-07-30 18:28:00.000000
17,1,296,3,2000-07-30 18:49:27.000000
18,1,316,3,2000-07-30 18:38:30.000000
19,1,333,5,2000-07-30 18:19:39.000000
20,1,349,4,2000-07-30 18:42:43.000000
21,1,356,4,2000-07-30 18:16:02.000000
22,1,362,5,2000-07-30 18:43:08.000000
23,1,367,4,2000-07-30 18:28:30.000000
24,1,423,3,2000-07-30 18:39:23.000000
25,1,441,4,2000-07-30 18:14:28.000000
26,1,457,5,2000-07-30 18:31:49.000000
27,1,480,4,2000-07-30 18:39:06.000000
28,1,500,3,2000-07-30 18:20:08.000000
29,1,527,5,2000-07-30 19:06:42.000000
30,1,543,4,2000-07-30 18:19:39.000000
31,1,552,4,2000-07-30 18:44:13.000000
32,1,553,5,2000-07-30 19:09:13.000000
33,1,590,4,2000-07-30 18:42:26.000000
34,1,592,4,2000-07-30 18:37:51.000000
35,1,593,4,2000-07-30 19:03:13.000000
36,1,596,5,2000-07-30 18:47:18.000000
37,1,608,5,2000-07-30 18:48:51.000000
233,2,318,3,2015-10-24 19:27:15.000000
234,2,333,4,2015-10-24 19:30:29.000000
262,3,31,0.5,2011-05-27 02:32:58.000000
263,3,527,0.5,2011-05-27 02:44:35.000000
301,4,21,3,2001-04-10 20:39:59.000000
302,4,32,2,1999-12-14 12:10:47.000000
303,4,45,3,2001-04-10 20:37:27.000000
304,4,47,2,1999-12-14 12:10:25.000000
305,4,52,3,2000-07-26 14:46:26.000000
306,4,58,3,2000-07-25 15:20:44.000000
307,4,106,4,2001-04-09 20:39:44.000000
308,4,125,5,2000-07-26 14:45:58.000000
309,4,126,1,2001-04-09 20:42:00.000000
310,4,162,5,1999-12-13 09:49:31.000000
311,4,171,3,1999-12-13 09:47:08.000000
312,4,176,5,2000-07-26 14:42:45.000000
313,4,190,2,1999-12-13 10:00:59.000000
314,4,215,5,1999-12-13 09:57:58.000000
315,4,222,1,1999-12-19 18:44:00.000000
316,4,232,5,2000-07-26 14:44:44.000000
317,4,235,2,1999-12-14 12:11:53.000000
318,4,247,3,2001-04-09 20:41:34.000000
319,4,260,5,1999-12-13 10:00:59.000000
320,4,265,5,2000-07-25 15:21:08.000000
321,4,296,1,1999-12-14 12:09:10.000000
322,4,319,5,1999-12-13 09:59:42.000000
323,4,342,5,2000-07-25 15:21:40.000000
324,4,345,4,1999-12-19 18:44:23.000000
325,4,348,4,2000-07-26 14:46:26.000000
326,4,351,3,2001-04-10 20:35:01.000000
327,4,357,3,2000-07-26 14:55:06.000000
328,4,368,4,1999-12-13 09:51:30.000000
329,4,417,2,1999-12-13 09:47:47.000000
330,4,441,1,2001-04-10 20:35:15.000000
